"TASK_ID","COURSE","TASK","T.CURR","GENRE","GENRE_FAMILY","OPERATOR.17","OPERATOR.25","SOURCE_TEXT_TITLE","SOURCE_TEXT_TYPE","PUBLICATION","AUTHOR","PROMPT"
"a10gk1_t1","a10gk1","t1","int.reading","describing","descriptive report","summarize","summarize","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Sum up the author's opinion on the usefulness of unions."
"a10gk1_t2","a10gk1","t2","analysis","responding","interpretation","analyze","analyze","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Analyze how the author tries to persuade the reader of his opinion. Focus on communicative strategies."
"a10gk1_t3a","a10gk1","t3a","argumentative","responding","critical response","comment","comment","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Comment on Brian Pollard's statement, that""[ ... ] in the twenty-first century the situation has changed, workers are not being exploited by employers, now employers are being exploited by employees."" Refer to your knowledge from classwork concerning working conditions in a globalised world."
"a10gk1_t4","a10gk1","t4","mediation","inquiring","problem-solution report","magazine","magazine","Fast Fashion: ""Unser Kleiderkonsum ist Wahnsinn""","news article","Spiegel Online","Jörg Oberwittler","You are spending an exchange year in the USA. Your social sciences class is discussing issues of globalization and fair trade. Yout teacher has asked you to write an article about fast fashion for the school magazine. Use the information in the text to write about problems in the textile industry - as they are being discussed in Germany - as well as measures to improve the situation. "
"a10gk2_t1","a10gk2","t1","int.reading","describing","descriptive report","summarize","summarize","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Sum up the author's opinion on the usefulness of unions."
"a10gk2_t2","a10gk2","t2","analysis","responding","interpretation","analyze","analyze","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Analyze how the author tries to persuade the reader of his opinion. Focus on communicative strategies."
"a10gk2_t3a","a10gk2","t3a","argumentative","responding","critical response","comment","comment","Is the usefulness of unions in the protection of workers rights coming to an-end? The answer is yes.","news article","The Gulf News","Brian Pollard","Comment on Brian Pollard's statement, that""[ ... ] in the twenty-first century the situation has changed, workers are not being exploited by employers, now employers are being exploited by employees."" Refer to your knowledge from classwork concerning working conditions in a globalised world."
"a10gk2_t4","a10gk2","t4","mediation","inquiring","problem-solution report","magazine","magazine","Fast Fashion: ""Unser Kleiderkonsum ist Wahnsinn""","news article","Spiegel Online","Jörg Oberwittler","You are spending an exchange year in the USA. Your social sciences class is discussing issues of globalization and fair trade. Yout teacher has asked you to write an article about fast fashion for the school magazine. Use the information in the text to write about problems in the textile industry - as they are being discussed in Germany - as well as measures to improve the situation. "
"a10gk3_t1","a10gk3","t1","int.reading","describing","descriptive report","summarize","outline","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Outline in your own words how Ankita Mitra describes environmental pollution as well as its causes and effects."
"a10gk3_t2","a10gk3","t2","analysis","responding","interpretation","analyze","analyze","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Analyze the stylistic devices and communicative strategies she uses to underline her message."
"a10gk3_t3a","a10gk3","t3a","argumentative","inquiring","problem-solution report","comment","comment","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","A lot of pollution derives from (stammt von) human activity. As a result, it is we humans who will be able to stop pollution. Write a comment and suggest necessary as well as feasible (machbar, umsetzbar) measures to help solving the global problem of environmental pollution."
"a10gk3_t4","a10gk3","t4","mediation","recounting","biographical recount","informal_e-mail","informal_e-mail","Modeblogger in Kambodscha 'Was ist das für ein Leben?""","news article","Spiegel Online","Nike Laurenz","Your pen pal Alex always praises the effects of globalisation. As he is an advocate of free trade and free market, he easily ignores the losers of globalisation. As you would like him to imagine how it is to work for a global fashion player, you write him an email about Anniken's, Frida's and Ludvig's experiences, feelings and impressions these young western people had after one day leading the life of a seamstress (Näherin) in Cambodia."
"a10gk4_t1","a10gk4","t1","int.reading","describing","descriptive report","summarize","outline","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Outline in your own words how Ankita Mitra describes environmental pollution as well as its causes and effects."
"a10gk4_t2","a10gk4","t2","analysis","responding","interpretation","analyze","analyze","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Analyze the stylistic devices and communicative strategies she uses to underline her message."
"a10gk4_t3a","a10gk4","t3a","argumentative","inquiring","problem-solution report","comment","comment","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","A lot of pollution derives from (stammt von) human activity. As a result, it is we humans who will be able to stop pollution. Write a comment and suggest necessary as well as feasible (machbar, umsetzbar) measures to help solving the global problem of environmental pollution."
"a10gk4_t4","a10gk4","t4","mediation","responding","personal response","informal_e-mail","informal_e-mail","Schluss mit Coffee to go: Pause statt Plastikbecher","news article","Süddeutsche","Barbara Vorsamer","Your US American friend Nathan sent you an email yesterday. He wrote you that he is currently working on a little research project on plastic waste. He wants to give a presentation about this topic at the Open House in school. A few days ago, he came across an article form ""Süddeutsche Zeitung"" because of the English phrase ""Coffee to go. ""In his email Nathan asked you the following questions: Are plastic coffee cups popular in Germany too? Are they problematic? What are possible alternatives? Answer Nathan's email in English."
"a10gk5_t1","a10gk5","t1","int.reading","describing","descriptive report","summarize","outline","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Outline in your own words how Ankita Mitra describes environmental pollution as well as its causes and effects."
"a10gk5_t2","a10gk5","t2","analysis","responding","interpretation","analyze","analyze","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Analyze the stylistic devices and communicative strategies she uses to underline her message."
"a10gk5_t3a","a10gk5","t3a","argumentative","inquiring","problem-solution report","comment","comment","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","A lot of pollution derives from (stammt von) human activity. As a result, it is we humans who will be able to stop pollution. Write a comment and suggest necessary as well as feasible (machbar, umsetzbar) measures to help solving the global problem of environmental pollution."
"a10gk5_t4","a10gk5","t4","mediation","recounting","biographical recount","informal_e-mail","informal_e-mail","Modeblogger in Kambodscha 'Was ist das für ein Leben?""","news article","Spiegel Online","Nike Laurenz","Your pen pal Alex always praises the effects of globalisation. As he is an advocate of free trade and free market, he easily ignores the losers of globalisation. As you would like him to imagine how it is to work for a global fashion player, you write him an email about Anniken's, Frida's and Ludvig's experiences, feelings and impressions these young western people had after one day leading the life of a seamstress (Näherin) in Cambodia."
"a10gk6_t1","a10gk6","t1","int.reading","describing","descriptive report","summarize","outline","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Outline in your own words how Ankita Mitra describes environmental pollution as well as its causes and effects."
"a10gk6_t2","a10gk6","t2","analysis","responding","interpretation","analyze","analyze","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","Analyze the stylistic devices and communicative strategies she uses to underline her message."
"a10gk6_t3a","a10gk6","t3a","argumentative","inquiring","problem-solution report","comment","comment","Globalised Environmental Pollution - Causes and Effects","blog entry","Blog on Environment","Anika Mitra","A lot of pollution derives from (stammt von) human activity. As a result, it is we humans who will be able to stop pollution. Write a comment and suggest necessary as well as feasible (machbar, umsetzbar) measures to help solving the global problem of environmental pollution."
"a10gk6_t4","a10gk6","t4","mediation","recounting","biographical recount","informal_e-mail","informal_letter","Modeblogger in Kambodscha 'Was ist das für ein Leben?""","news article","Spiegel Online","Nike Laurenz","Your pen pal Alex always praises the effects of globalisation. As he is an advocate of free trade and free market, he easily ignores the losers of globalisation. As you would like him to imagine how it is to work for a global fashion player, you write him an email about Anniken's, Frida's and Ludvig's experiences, feelings and impressions these young western people had after one day leading the life of a seamstress (Näherin) in Cambodia."
"a11gk1_t1","a11gk1","t1","int.reading","recounting","biographical recount","describe","describe","The Hate U Give","novel","Cornelsen","Angie Thomas","Describe the situation Starr finds herself in."
"a11gk1_t2","a11gk1","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","novel","Cornelsen","Angie Thomas","Analyze how Starr's state of mind is presented by means of point of view and narrative techniques."
"a11gk1_t3a","a11gk1","t3a","argumentative","persuading","analytical exposition","formal_letter","formal_letter","The Hate U Give","novel","Cornelsen","Angie Thomas","In a school district in Texas, The Hate U Give was banned from school libraries because it was supposed to be vulgar, contained offensive language and sexual references, depicted drug use and showed the police in a negative light. Write a letter to your American penfriend's headmaster Mr. Rump living in Texas, in which you explain why you think this is a book that should be made available not only to American students but also to students worldwide."
"a11gk1_t4","a11gk1","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Schwarze in den USA: Der Rassismus ist messbar","news article","Zeit Online","Alexandra Endres","Since we read THUG in our English class you wonder whether racism is really a topical problem in the USA. You did some research and found the article below. You are surprised at the information given and want to inform your American penfriend about your findings. Write an email to him/her in which you outline the information about the discrimination against African Americans in the USA and question him/her about his/her experience."
"a11gk2_t1","a11gk2","t1","int.reading","recounting","biographical recount","point_out","point_out","Barack Obama's speech on the American Dream, November 7th 2007","speech",NA,"Barack Obama","Point out Barack Obama's reasons to fight for the American Dream"
"a11gk2_t2","a11gk2","t2","analysis","responding","interpretation","analyze","analyze","Barack Obama's speech on the American Dream, November 7th 2007","speech",NA,"Barack Obama","Analyse how Barack Obama tries to convince his audience that 'dreams are worth fighting for' (l. 25f.) by examining rhetorical devices."
"a11gk2_t3a","a11gk2","t3a","argumentative","persuading","discussion","comment","comment","Barack Obama's speech on the American Dream, November 7th 2007","speech",NA,"Barack Obama","In America there are no barriers to success' (l. 19). Comment on this statement by referring to the given text and work done in class."
"a11gk3_t1","a11gk3","t1","int.reading","recounting","biographical recount","describe","describe","The Hate U Give","novel","Cornelsen","Angie Thomas","Describe the situation Starr finds herself in."
"a11gk3_t2","a11gk3","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","novel","Cornelsen","Angie Thomas","Analyze how Starr's state of mind is presented by means of point of view and narrative techniques."
"a11gk3_t3a","a11gk3","t3a","argumentative","persuading","analytical exposition","formal_letter","formal_letter","The Hate U Give","novel","Cornelsen","Angie Thomas","In a school district in Texas, The Hate U Give was banned from school libraries because it was supposed to be vulgar, contained offensive language and sexual references, depicted drug use and showed the police in a negative light. Write a letter to your American penfriend's headmaster Mr. Rump living in Texas, in which you explain why you think this is a book that should be made available not only to American students but also to students worldwide."
"a11gk3_t4","a11gk3","t4","mediation","inquiring","investigation report","informal_e-mail","informal_e-mail","Schwarze in den USA: Der Rassismus ist messbar","news article","Zeit Online","Alexandra Endres","Since we read THUG in our English class you wonder whether racism is really a topical problem in the USA. You did some research and found the article below. You are surprised at the information given and want to inform your American penfriend about your findings. Write an email to him/her in which you outline the information about the discrimination against African Americans in the USA and question him/her about his/her experience."
"a11gk4_t1","a11gk4","t1","int.reading","recounting","biographical recount","describe","describe","The Hate U Give","novel","Cornelsen","Angie Thomas","Describe the situation Starr finds herself in."
"a11gk4_t2","a11gk4","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","novel","Cornelsen","Angie Thomas","Analyze how Starr's state of mind is presented by means of point of view and narrative techniques."
"a11gk4_t3a","a11gk4","t3a","argumentative","persuading","analytical exposition","informal_e-mail","informal_e-mail","The Hate U Give","novel","Cornelsen","Angie Thomas","In the school district where your American penpal attends high school, the school board thinks about banning The Hate U Give from the school libraries and the curriculums. The school board argues that the novel is too vulgar, contains offensive language and sexual references, depicts and promotes drug abuse, and shows the police in a negative light. Your penpal asks you for your opinion and support since he is about to participate in the decisive meeting with the school board. He knows that you have read the book in class, and that in Germany it is even recommended reading. Write an email to him in which you give and explain your arguments why THUG should be compulsory reading not only in the US, but also worldwide."
"a11gk4_t4","a11gk4","t4","mediation","inquiring","investigation report","informal_e-mail","informal_e-mail","Schwarze in den USA: Der Rassismus ist messbar","news article","Zeit Online","Alexandra Endres","Since we read THUG in our English class you wonder whether racism is really a topical problem in the USA. You did some research and found the article below. You are surprised at the information given and want to inform your American penfriend about your findings. Write an email to him/her in which you outline the information about the discrimination against African Americans in the USA and question him/her about his/her experience."
"a11lk1_t1","a11lk1","t1","int.reading","recounting","literary recount","summarize","outline","Disgraced","play",NA,"Ayad Akhtar","Outline Abe's situation and Amir's ideas to support his nephew."
"a11lk1_t2","a11lk1","t2","analysis","responding","interpretation","analyze","analyze","Disgraced","play",NA,"Ayad Akhtar","Analyze how the relationship between Abe and his uncle develops. Pay special attention to their attitudes towards American values and American authorities."
"a11lk1_t3c","a11lk1","t3c","creative","recounting","personal recount","diary","diary","Disgraced","play",NA,"Ayad Akhtar","When Abe comes home he writes a diary entry. Write a text in which he expresses his feelings about his uncle Amir and reflects upon the future that both of them might have in the USA."
"a11lk1_t4","a11lk1","t4","mediation","recounting","biographical recount","blog","blog","Jérôme Boateng über Rassismus in Deutschland: ""Es gibt Orte, an die ich meine Töchter auf keinen Fall lassen würde.""","news article","Spiegel Online",NA,"You are a volunteer for an international cultural exchange organization in the USA. You are asked how Germans with African heritage feel in their home country and what challenges they are facing. You are expected to write a blog entry for their website. After you found an article about Germany 's famous football player Jerome Boateng, you decide to write about Boateng's experiences. Write the blog entry. You may add information, where necessary."
"a11lk2_t1","a11lk2","t1","int.reading","recounting","literary recount","summarize","outline","Disgraced","play",NA,"Ayad Akhtar","Outline the situation in the given extract from scene 3."
"a11lk2_t2","a11lk2","t2","analysis","responding","interpretation","analyze","analyze","Disgraced","play",NA,"Ayad Akhtar","Analyze how Amir is presented in this scene. Focus on Amir's behavior, his attitudes and his interaction with the other characters."
"a11lk2_t3c","a11lk2","t3c","creative","recounting","personal recount","dialogue","dialogue","Disgraced","play",NA,"Ayad Akhtar","A few days later, Emily meets her best friends Maya and tells her about the affair with Issac and how Amir reacted when she told him about it. Emily asks Maya for advice. Write the dialogue between Emily and Maya."
"a11lk2_t4","a11lk2","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","""Es gibt keine Schule ohne Rassismus""","website article","Deutsches Schulportal","Annette Kuhn","Sam Skinner is an exchange student from the USA and he is going to study at your school in the upcoming school year. He had a look at our school website and found out that this school received the label ""School without racism and school with courage"". He wonders if a school without racism can really exist and writes an email to your school asking about it. Your English teacher asked you to answer his email. You found an article about the label ""School without racism I school with courage"" on the internet . Based on the information provided in this article and your own experience at your school, you write an email to Sam Skinner and answer his question."
"a12gk1_t1","a12gk1","t1","int.reading","describing","descriptive report","summarize","outline","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Outline what John Wome says about foreign language learning in the UK and his personal view on this issue."
"a12gk1_t2","a12gk1","t2","analysis","responding","interpretation","analyze","analyze","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Analyze how Worne presents his view. Focus on communicative strategies and use of language."
"a12gk1_t3a","a12gk1","t3a","argumentative","responding","critical response","comment","comment","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Comment on Worne's claim that ""language learning is vital for the UK's future prosperity and global standing"" (1. 16). Refer to the text and work done in class."
"a12gk1_t4","a12gk1","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Berlin spricht Englisch","news article","Hannoversche Allgemeine Zeitung","Marina Kormbaki","Your Canadian friend is thinking about spending a year in Germany after school and has been told that Berlin is the place to be. Based on Marina Kormbaki's article write her/him an email outlining what makes living in Berlin attractive, especially for English speaking people."
"a12gk2_t1","a12gk2","t1","int.reading","describing","descriptive report","summarize","outline","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Outline what John Wome says about foreign language learning in the UK and his personal view on this issue."
"a12gk2_t2","a12gk2","t2","analysis","responding","interpretation","analyze","analyze","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Analyze how Worne presents his view. Focus on communicative strategies and use of language."
"a12gk2_t3a","a12gk2","t3a","argumentative","responding","critical response","comment","comment","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Comment on Worne's claim that ""language learning is vital for the UK's future prosperity and global standing"" (1. 16). Refer to the text and work done in class."
"a12gk2_t4","a12gk2","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Berlin spricht Englisch","news article","Hannoversche Allgemeine Zeitung","Marina Kormbaki","Your Canadian friend is thinking about spending a year in Germany after school and has been told that Berlin is the place to be. Based on Marina Kormbaki's article write her/him an email outlining what makes living in Berlin attractive, especially for English speaking people."
"a12gk3_t1","a12gk3","t1","int.reading","describing","descriptive report","summarize","outline","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Outline what John Wome says about foreign language learning in the UK and his personal view on this issue."
"a12gk3_t2","a12gk3","t2","analysis","responding","interpretation","analyze","analyze","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Analyze how Worne presents his view. Focus on communicative strategies and use of language, including stylistic devices."
"a12gk3_t3a1","a12gk3","t3a1","argumentative","responding","critical response","comment","comment","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Comment on Worne's claim that ""language learning is vital for the UK's future prosperity and global standing"" (1. 16). Refer to the text and work done in class."
"a12gk3_t3a2","a12gk3","t3a2","argumentative","persuading","challenge","formal_letter","formal_letter","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Write a letter to the editor of The Telegraph in which you respond to the article from the point of view of a British student who considers foreign language learning superfluous. Refer to the text and work done in class."
"a12gk3_t4","a12gk3","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Berlin spricht Englisch","news article","Hannoversche Allgemeine Zeitung","Marina Kormbaki","Your Canadian friend is thinking about spending a year in Germany after school and has been told that Berlin is the place to be. Based on Marina Kormbaki's article write her/him an email outlining what makes living in Berlin attractive, especially for English speaking people."
"a12gk4_t1","a12gk4","t1","int.reading","describing","descriptive report","summarize","outline","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Outline what John Wome says about foreign language learning in the UK and his personal view on this issue."
"a12gk4_t2","a12gk4","t2","analysis","responding","interpretation","analyze","analyze","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Analyze how Worne presents his view. Focus on communicative strategies and use of language."
"a12gk4_t3a","a12gk4","t3a","argumentative","responding","critical response","comment","comment","Language learning in the UK: 'can't, won't, don't'","news article","The Telegraph","John Worne","Comment on Worne's claim that ""language learning is vital for the UK's future prosperity and global standing"" (1. 16). Refer to the text and work done in class."
"a12gk4_t4","a12gk4","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Berlin spricht Englisch","news article","Hannoversche Allgemeine Zeitung","Marina Kormbaki","Your Canadian friend is thinking about spending a year in Germany after school and has been told that Berlin is the place to be. Based on Marina Kormbaki's article write her/him an email outlining what makes living in Berlin attractive, especially for English speaking people."
"a12lk1_t1","a12lk1","t1","int.reading","recounting","literary recount","describe","describe","Sonnet 138","poem",NA,"William Shakespeare","Describe the speaker's train of thought and the the message of this sonnet."
"a12lk1_t2","a12lk1","t2","analysis","responding","interpretation","analyze","analyze","Sonnet 138","poem",NA,"William Shakespeare","Analyze the formal and poetic devices that Shakespeare uses to illustrate and to intensify his view."
"a12lk1_t3a1","a12lk1","t3a1","argumentative","persuading","analytical exposition","formal_letter","formal_letter","Sonnet 138","poem",NA,"William Shakespeare","Imagine: The Ministry of Education has decided to take off Shakespeare's sonnets of the English School Curriculum. Write a formal letter to the Ministry of Education in which you express your position. Make sure to use convincing arguments to support your view."
"a12lk1_t3a2","a12lk1","t3a2","argumentative","responding","critical response","comment","comment","Sonnet 138","poem",NA,"William Shakespeare","Shakespeare reflects on the emotion of love in his sonnets in multifaceted ways . Comment on the way he deals with this topic. Refer to other sonnets dealt with in class and your own experience as a student."
"a12lk1_t4","a12lk1","t4","mediation","describing","descriptive report","blog","blog","Wie Shakespeares Denkmal in den Weimarer Ilmpark kam","news article","Thüringer Allgemeine","Wolfgang Hirsch","You are taking part in an international school project called ""Global Shakespeare"". Your task is to write a blog post for the project's website. Based on an article you have found, you describe how Shakespeare's work found its way to Germany and the relationship between Weimar and Shakespeare."
"a12lk2_t1","a12lk2","t1","int.reading","describing","descriptive report","summarize","outline","Romeo and Juliet","play",NA,"William Shakespeare","Outline Juliet's concerns about meeting Romeo in this scene and Romeo's reaction to these concerns."
"a12lk2_t2","a12lk2","t2","analysis","responding","interpretation","analyze","analyze","Romeo and Juliet","play",NA,"William Shakespeare","How do the lovers reflect on their ""love against the odds""? analyze the means of language used by Romeo and Juliet to speak about their love."
"a12lk2_t3a","a12lk2","t3a","argumentative","persuading","discussion","comment","discuss","Romeo and Juliet","play",NA,"William Shakespeare","Shakespeare's works are more than 400 years old. Are his works still relevant today or outdated? Discuss."
"a12lk2_t4","a12lk2","t4","mediation","describing","comparative report","informal_e-mail","informal_e-mail","Darum spielen wir Shakespeare",NA,"Märkische Allgemeine","Karim Saab","Your English pen pal is working on an essay about Shakespeare's global appeal and asks you whether Shakespeare is played in German theatres. You have found an interesting article explaining why producers in Brandenburg still put on Shakespeare's plays. In an email to your pen pal, outline the reasons each producer provides for staging Shakespeare."
"a12lk3_t1","a12lk3","t1","int.reading","describing","descriptive report","describe","describe","The Merchant of Venice","play",NA,"William Shakespeare","Describe the situation Shylock finds himself in"
"a12lk3_t2","a12lk3","t2","analysis","responding","interpretation","characterize","characterize","The Merchant of Venice","play",NA,"William Shakespeare","Give a characterization of Shylock in the given scene. In doing so pay special attention to the use of language especially stylistic devices."
"a12lk3_t3a","a12lk3","t3a","argumentative","responding","critical response","comment","discuss","The Merchant of Venice","play",NA,"William Shakespeare","Against the background of the given excerpt and your classroom work, discuss whether The Merchant of Venice fuels antisemitic stereotypes or raises awareness for the problem of antisemitism."
"a12lk3_t4","a12lk3","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Gar nicht matt: Schach als Schulfach","news article","TAZ","Joachim Gorres","Your English friend is working on a presentation about unusual school projects worldwide and asked you whether you can help him/her out. Write an email to her/him in which you sum up what the article says about the chess project and how pupils benefit from playing chess at school."
"b10gk1_t1","b10gk1","t1","int.reading","recounting","literary recount","summarize","summarize","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","Briefly summarize the given film sequence in your own words."
"b10gk1_t2","b10gk1","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","How does the director present Chris in this sequence from the movie? Analyze the most important film-stylistic devices that are used by the director to present Chris and his relationship with his girlfriend Starr."
"b10gk1_t3a","b10gk1","t3a","argumentative","responding","personal response","comment","comment","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","In an interview about her novel ""The Hate U Give"" Angie Thomas talked about the power of story-telling, the impact that books can have on people's lives and perspectives and how they can open the reader's eyes. Comment on the film ""The Hate U Give"" and the impact it had on you (your life and perspective, your ideas about challenges of teenage life, ...)."
"b10gk2_t1","b10gk2","t1","int.reading","recounting","literary recount","summarize","summarize","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","Briefly summarize the given film sequence in your own words."
"b10gk2_t2","b10gk2","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","How does the director present Chris in this sequence from the movie? Analyze the most important film-stylistic devices that are used by the director to present Chris and his relationship with his girlfriend Starr."
"b10gk2_t3a","b10gk2","t3a","argumentative","responding","personal response","comment","comment","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","In an interview about her novel ""The Hate U Give"" Angie Thomas talked about the power of story-telling, the impact that books can have on people's lives and perspectives and how they can open the reader's eyes. Comment on the film ""The Hate U Give"" and the impact it had on you (your life and perspective, your ideas about challenges of teenage life, ...)."
"b10gk3_t1","b10gk3","t1","int.reading","recounting","literary recount","summarize","summarize","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","Briefly summarize the given sequence from the movie THUG - THE HATE You GIVE (2018, directed by George Tillman Jr.) in your own words."
