"TASK_ID","COURSE","TASK","T.CURR","GENRE","GENRE_FAMILY","OPERATOR.17","OPERATOR.25","SOURCE_TEXT_TITLE","SOURCE_TEXT_TYPE","PUBLICATION","AUTHOR","PROMPT"
"b10gk3_t2","b10gk3","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","How does the director present the action in this sequence from the movie? Analyze the most important cinematic devices that are used by the director to present conflict and violence and the effect(s) thus created."
"b10gk3_t3a","b10gk3","t3a","argumentative","responding","critical response","comment","comment","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","The movie is based on the novel of the same title that was written by Angie Thomas and published in 2017. Maverick Carter's encounter with two policemen is a key scene in the novel, too, but the movie clearly gives its own version of this encounter. Do you think that the movie's version is still faithful enough to the novel's idea or purpose as you see it?"
"b10gk4_t1","b10gk4","t1","int.reading","recounting","literary recount","summarize","summarize","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","Briefly summarize the given film sequence in your own words."
"b10gk4_t2","b10gk4","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","How does the director present Chris in this sequence from the movie? Analyze the most important film-stylistic devices that are used by the director to present Chris and his relationship with his girlfriend Starr."
"b10gk4_t3a","b10gk4","t3a","argumentative","responding","personal response","comment","comment","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","In an interview about her novel ""The Hate U Give"" Angie Thomas talked about the power of story-telling, the impact that books can have on people's lives and perspectives and how they can open the reader's eyes. Comment on the film ""The Hate U Give"" and the impact it had on you (your life and perspective, your ideas about challenges of teenage life, ...)."
"b10gk5_t1","b10gk5","t1","int.reading","recounting","literary recount","summarize","summarize","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","Briefly summarize the given film sequence in your own words."
"b10gk5_t2","b10gk5","t2","analysis","responding","interpretation","analyze","analyze","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","How does the director present Chris in this sequence from the movie? Analyze the most important film-stylistic devices that are used by the director to present Chris and his relationship with his girlfriend Starr."
"b10gk5_t3a","b10gk5","t3a","argumentative","responding","personal response","comment","comment","The Hate U Give","film sequence","George Tillmann Jr. (director)","Angie Thomas","In an interview about her novel ""The Hate U Give"" Angie Thomas talked about the power of story-telling, the impact that books can have on people's lives and perspectives and how they can open the reader's eyes. Comment on the film ""The Hate U Give"" and the impact it had on you (your life and perspective, your ideas about challenges of teenage life, ...)."
"b11gk1_t1","b11gk1","t1","int.reading","describing","descriptive report","summarize","summarize","Gun Love","novel","Bildungshaus Schulbuchverlage","Jennifer Clement","Briefly summarise Helen's situation as depicted in this part of the novel."
"b11gk1_t2","b11gk1","t2","analysis","responding","interpretation","analyze","analyze","Gun Love","novel","Bildungshaus Schulbuchverlage","Jennifer Clement","Point out Helen's problem by analysing her character as represented by the narrator in this part of the novel."
"b11gk1_t3a1","b11gk1","t3a1","argumentative","responding","critical response","comment","comment","Gun Love","novel","Bildungshaus Schulbuchverlage","Jennifer Clement","CPS should have taken Pearl away from Margot and the trailer park, put her into a foster home and help her to get a good education and prepare for a better and independent way of life. Comment on this statement, taking the results of your work on Helen as well as your knowledge of and attitude towards the American Dream into account."
"b11gk1_t3a2","b11gk1","t3a2","argumentative","responding","personal response","formal_letter","formal_letter","Gun Love","novel","Bildungshaus Schulbuchverlage","Jennifer Clement","In a newspaper, you come across an article about teenage single parents, which calls for support of those teenagers by taking their children into foster care. The article says that teenage single parents themselves have special needs, are completely unprepared for parentinq on their own, and face extreme challenges, such as trying to finish high school, lack of job skills, no income, lack of transportation, and maybe being forced to leave their home if their parents do not accept their teenage pregnancy. The demand for a law that officially regulates all children of teenage single parents to be taken into foster care in order to support both parent and child best is the final conclusion of the article. In a letter to the editor, express your opinion of the issue as well as your attitude towards the demand for establishing this new law, taking your knowledge of and attitude towards the American Dream into account."
"b11gk2_t1","b11gk2","t1","int.reading","recounting","literary recount","point_out","point_out","Disgraced","play","Westermann","Ayad Akhtar","Point out what is happening in this final part of scene 3 (p. 71. l. 12 - p. 74, l. 25)."
"b11gk2_t2","b11gk2","t2","analysis","responding","interpretation","analyze","analyze","Disgraced","play","Westermann","Ayad Akhtar","Analyze in what way this excerpt can be considered the turning point of the play and which previous events and conflicts finally lead to Amir's emotional outbursts in this excerpt."
"b11gk2_t3a","b11gk2","t3a","argumentative","persuading","analytical exposition","formal_letter","formal_letter","Disgraced","play","Westermann","Ayad Akhtar","In an interview with Guernica Magazine, published in June 2014, Ayad Akhtar said: ""[...] Post-9/11, the notion of ""Muslims"" taking on a potential truculence[1] [corresponds to] - although it's different - ways in which Jews were seen pejoratively within dominant Western cultures. Something about the orientation of faith being your identity marker as opposed to nationality or ethnicity. Post-9/11, that is an issue: folks get labeled ""Muslim"" no matter where they're from. If you are Muslim, then that is part of it, but here's the complicating factor for me: growing up, the only part of my identity that mattered was being Muslim, and I knew that. Being Pakistani was not as important as being Muslim. So the black guy whom I met who's a Muslim, I'm much closer to him than the Christian Pakistani guy who is my dad's friend. We have a closer bond. This was innate[2] to me as a kid. I don't know what it's like to be Jewish, but I suspect there is some aspect of that: being Jewish is the thing that bonds you as opposed to being Jewish from Poland, or Jewish from Hungary [...]."" Write a letter to the editor of Guernica Magazine telling them that you have just read Disgraced in school and how you think about faith being one's main identity marker, as Akhtar calls it. Make references to Amir in the play but also include your own opinion, from your perspective of a student growing up in Germany. You can start your letter like this: Dear Sir or Madam, I am writing to you in response to the interview with Ayad Akhtar which has only recently[3] been published in Guernica Magazine."
"b11lk1_t1","b11lk1","t1","int.reading","recounting","literary recount","summarize","summarize","The Tortilla Curtain","novel",NA,"T. C. Boyle","Summarise the action of this excerpt from Part Two, Chapter 6, of the novel 'The Tortilla Curtain' by T.C. Boyle. In doing so, place the excerpt into the context of the novel by briefly explaining who the characters are, what the setting is and how the incident here fits into the plot of the book. Tip: Write this in a way that would enable somebody who does not know the rest of the novel to fully understand your text. Use your own words!"
"b11lk1_t2","b11lk1","t2","analysis","responding","interpretation","analyze","analyze","The Tortilla Curtain","novel",NA,"T. C. Boyle","Analyse how the way this passage is narrated and point out how this affects the readers' perception of Delaney's state of mind here. Consider the narrative perspective, narrative techniques and the language the narrator uses. Remember to begin with a main thesis and prove your findings with evidence from the text."
"b11lk1_t3a","b11lk1","t3a","argumentative","responding","critical response","comment","comment","The Tortilla Curtain","novel",NA,"T. C. Boyle","Based on this excerpt and other passages from the novel as well as your background knowledge, comment on why it is difficult for Whites and Hispanics to live together in California peacefully and suggest how the situation could be improved."
"b11lk1_t3c","b11lk1","t3c","creative","entertaining","narrative","story","story","The Tortilla Curtain","novel",NA,"T. C. Boyle","Change the perspective and re-tell the encounter of the two men from the Mexican man's point of view. Use a third person narrator. Try to employ a few narrative techniques and a language that fit his thoughts and feelings."
"b11lk2_t1","b11lk2","t1","int.reading","recounting","literary recount","summarize","summarize","The Great Gatsby","novel","Klett","F. Scott Fitzgerald","Sum up the main plot of the given excerpt (p. 84. l. 1 - p. 87, l. 28)."
"b11lk2_t2","b11lk2","t2","analysis","responding","interpretation","analyze","analyze","The Great Gatsby","novel","Klett","F. Scott Fitzgerald","Analyze the excerpt by characterizing Gatsby and contrasting it to how he is presented in the previous chapters. How do the setting and the narrative perspective contribute to the way Gatsby is characterized here?"
"b11lk2_t3a","b11lk2","t3a","argumentative","persuading","discussion","comment","discuss","The Great Gatsby","novel","Klett","F. Scott Fitzgerald","In this scene Gatsby wants to revive a past relationship: Discuss the chances of such a revival first for Gatsby in the novel and then in general."
"b11lk2_t3c","b11lk2","t3c","creative","entertaining","narrative","interior_monologue","interior_monologue","The Great Gatsby","novel","Klett","F. Scott Fitzgerald","We get to know Nick's and Gatsby's thought throughout the scene but hardly any of Daisy's. Write what goes on inside of her in an interior monologue."
"b12gk1_t1","b12gk1","t1","int.reading","describing","descriptive report","point_out","point_out","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Point Boris Johnson's idea of the climate crisis and describe his view of the role and importance of COP26."
"b12gk1_t2","b12gk1","t2","analysis","responding","interpretation","analyze","analyze","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Analyze how Johnson tries to draw a convincing picture of the dangers, to give his audience hope and encourage them to take action. Focus on the structure and content of his speech as well as on some rhetorical devices. Give proof for your findings from the text."
"b12gk1_t3a","b12gk1","t3a","argumentative","responding","critical response","formal_letter","formal_letter","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Discuss Johnson's following statement in an imaginary letter you write to him from the future. Imagine you are in the year 2050, when Boris Johnson will be 84 years old. ""And let us think of the billions more of the unborn, whose anger will be all the greater if we fail. We cannot let them down. We have the ideas. We have the technology. We have the bankers. We have the corporations and the NGOs. [...]"""
"b12gk1_t4","b12gk1","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Mehr Bio nicht nur am Freitag","news article","Kölner Stadtanzeiger","Joachim Neubauer","Your English-speaking e-pal has found a newspaper article on ""School B goes green"" on our school homepage and wants to know what it was about. Write an e-mail in which you inform your e-pal about that project."
"b12gk2_t1","b12gk2","t1","int.reading","describing","descriptive report","point_out","point_out","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Point Boris Johnson's idea of the climate crisis and describe his view of the role and importance of COP26."
"b12gk2_t2","b12gk2","t2","analysis","responding","interpretation","analyze","analyze","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Analyze how Johnson tries to draw a convincing picture of the dangers, to give his audience hope and encourage them to take action. Focus on the structure and content of his speech as well as on some rhetorical devices. Give proof for your findings from the text."
"b12gk2_t3a","b12gk2","t3a","argumentative","responding","critical response","formal_letter","formal_letter","British Prime Minister address at COP26 World Leaders' Summit Opening Ceremony","speech","COP26 World Leaders' Summit Opening Ceremony","Boris Johnson","Discuss Johnson's following statement in an imaginary letter you write to him from the future. Imagine you are in the year 2050, when Boris Johnson will be 84 years old. ""And let us think of the billions more of the unborn, whose anger will be all the greater if we fail. We cannot let them down. We have the ideas. We have the technology. We have the bankers. We have the corporations and the NGOs. [...]"""
"b12gk2_t4","b12gk2","t4","mediation","describing","descriptive report","informal_e-mail","informal_e-mail","Mehr Bio nicht nur am Freitag","news article","Kölner Stadtanzeiger","Joachim Neubauer","Your English-speaking e-pal has found a newspaper article on ""School B goes green"" on our school homepage and wants to know what it was about. Write an e-mail in which you inform your e-pal about that project."
"b12lk1_t1","b12lk1","t1","int.reading","explaining","factorial explanation","summarize","outline","We are entering an era of pandemics - it will end only when we protect the rainforest",NA,"The Guardian","Peter Daszak","Outline how pandemics arise and spread and how mankind could prevent them according to the author."
"b12lk1_t2","b12lk1","t2","analysis","responding","interpretation","analyze","analyze","We are entering an era of pandemics - it will end only when we protect the rainforest",NA,"The Guardian","Peter Daszak","Analyse how the author tries to convince his readers. Consider his line of argument and his language."
"b12lk1_t3a1","b12lk1","t3a1","argumentative","responding","critical response","comment","assess","We are entering an era of pandemics - it will end only when we protect the rainforest",NA,"The Guardian","Peter Daszak","Assess the chances that mankind will not return ""to a system of unchecked consumption"". Make sure you give examples and arguments to justify your opinion."
"b12lk1_t3a2","b12lk1","t3a2","argumentative","persuading","hortatory exposition","speech","speech","We are entering an era of pandemics - it will end only when we protect the rainforest",NA,"The Guardian","Peter Daszak","You have been invited to hold a speech at an international student conference called ""The Future of Globalization"". Write a speech in which you urge politicians to support the good sides of globalization and fight the bad ones. Write a speech script in which you refer to the arguments in the article as well as to other areas affected by globalization."
"b12lk1_t4","b12lk1","t4","mediation","persuading","discussion","informal_e-mail","informal_e-mail","Verführerische Isolation","news article","Zeit Online","Mark Schieritz","Your friend from the US supports the ""America First"" movement in her country. She believes America could become independent, given the country's size, its geological diversity, its available natural resources and its economic power. In her last email she wondered whether Germany would also be able to cut itself off from globalization. You decide to write a reply to your friend's question, in which you summarize a corresponding article you have found online."
"b12lk2_t1","b12lk2","t1","int.reading","describing","descriptive report","summarize","summarize","Sir David Attenborough: speech at COP26 opening as people's advocate","speech","COP26 World Leaders' Summit Opening Ceremony","Sir David Attenborough","Summarize the speech in your own words, referring to the different topics it touches upon."
"b12lk2_t2","b12lk2","t2","analysis","responding","interpretation","analyze","analyze","Sir David Attenborough: speech at COP26 opening as people's advocate","speech","COP26 World Leaders' Summit Opening Ceremony","Sir David Attenborough","Analyse and interpret Attenborough's speech. Pay special attention to communicative strategies and stylistic devices used."
"b12lk2_t3a","b12lk2","t3a","argumentative","responding","critical response","comment","comment","Sir David Attenborough: speech at COP26 opening as people's advocate","speech","COP26 World Leaders' Summit Opening Ceremony","Sir David Attenborough","Comment on whether this speech might have an impact on the audience attending it at COP26 and on the broader public it is made available to (e.g. on youtube). Refer to the text at hand as well as to other texts and background knowledge from lessons."
"b12lk2_t4","b12lk2","t4","mediation","responding","review","magazine","news","Interview with Jochen Flasbarth in ""ARD-Morgenmagazin""","TV interview","Das Erste","Jochen Flasbarth","Based on the interview, write a newspaper article for an English-speaking quality newspaper about the German perspective on the outcome of COP26. Where necessary add information which might help to avoid possible misunderstandings."
"c10gk1_t1","c10gk1","t1","int.reading","describing","descriptive report","summarize","summarize","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","Sum up the author's views on language learning and its consequences for the integration of immigrant communities in GB."
"c10gk1_t2","c10gk1","t2","analysis","responding","interpretation","analyze","analyze","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","Analyse how the author tries to convince the readers of her opinion. Take into account a) the structure and b) three stylistic devices or other means of communicative strategy [Some help: You could, e.g., analyse the following lines: 1: 'Every year Bangladeshis ... in the streets.' (ll. 7-10); 2: 'My parents ... My parents ... My parents' ... ' (ll. 11-14); 3: 'But you ... holding you up.' (ll. 18-19); 4: '... we ... us' (cf. ll. 3, 18, 20, 23).)"
"c10gk1_t3a","c10gk1","t3a","argumentative","responding","critical response","comment","comment","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","'The limits of my language are the limits of my world' (Ludwig Wittgenstein, German linguist philosopher, 1889-1951). Comment on this statement taking into consideration the meaning of language learning in a globalized world."
"c10gk2_t1","c10gk2","t1","int.reading","describing","descriptive report","summarize","summarize","Remarks of President Barack Obama at student roundtable","speech","Student Roundtable","President Barack Obama","Briefly summarise Obama's view on student exchanges. Focus on his goals and the positive effects he mentions."
"c10gk2_t2","c10gk2","t2","analysis","responding","interpretation","analyze","analyze","Remarks of President Barack Obama at student roundtable","speech","Student Roundtable","President Barack Obama","Analyse the structure and choice of words (optional: stylistic devices) the President uses in order to encourage his listeners to take part in intercultural exchanges. (Remember to refer to the text to support your ideas.)"
"c10gk2_t3a","c10gk2","t3a","argumentative","responding","critical response","comment","comment","Remarks of President Barack Obama at student roundtable","speech","Student Roundtable","President Barack Obama","Comment on Obama's statement that ""simple exchanges can break down walls between us"" (line 13)."
"c10gk2_t4","c10gk2","t4","mediation","recounting","biographical recount","report","report","Erfahrungsbericht lndien: Education Center in Delhi","student testimonial","Teenissues.com","Bianca L.","Teenissues.com is a British website dealing with teenage issues. You visit this site regularly and now you have been asked to write a report about your friend's experiences as a volunteer in India. Sum up Bianca's view on volunteering. Focus on her experience working with children."
"c10gk3_t2","c10gk3","t2","analysis","explaining","consequential explanation","analyze","explain","Marking the 200th anniversary of Britain's abolition of the slave trade","news story","BBC News","BBC","The following sentences are key sentences from the excerpt given. Explain their meaning within the given paragraph."
"c10gk3_t3a","c10gk3","t3a","argumentative","persuading","discussion","comment","discuss","Marking the 200th anniversary of Britain's abolition of the slave trade","news story","BBC News","BBC","There are different influences in a multicultural society like the British or American one. Discuss in what way these influences can be both positive and negative."
"c10gk3_t1","c10gk3","t1","int.reading","recounting","biographical recount","speech","speech","Marking the 200th anniversary of Britain's abolition of the slave trade","news story","BBC News","BBC","In a panel discussion on TV different immigrants describe their immigration experiences in a speech at the beginning of the discussion. Among them is Faraj al-Byarshan, 41, an engineer who immigrated to New York from Iraq in 2005. His wife and his two sons followed him in 2007. Refer to his family situation, his reasons for immigration, positive and negative immigration experiences and his hopes for the future."
"c10gk4_t2","c10gk4","t2","analysis","responding","interpretation","analyze","analyze","Remarks of President Barack Obama at student roundtable","speech","Student Roundtable","President Barack Obama","Analyse the structure and choice of words (optional: stylistic devices) the President uses in order to encourage his listeners to take part in intercultural exchanges. (Remember to refer to the text to support your ideas.)"
"c10gk4_t3a","c10gk4","t3a","argumentative","persuading","challenge","informal_e-mail","informal_e-mail",NA,NA,NA,NA,"A friend of yours told you that s/he thinks ""student exchanges are a waste of time"". Write an e-mail to your friend and comment on his/her statement by giving your own opinion. (You should also consider the arguments we discussed in class. And do not forget to write an appropriate introduction.)"
"c10gk4_t4","c10gk4","t4","mediation","recounting","biographical recount","report","report","Erfahrungsbericht lndien: Education Center in Delhi","student testimonial","Teenissues.com","Bianca L.","Teenissues.com is a British website dealing with teenage issues. You visit this site regularly and now you have been asked to write a report about your friend's experiences as a volunteer in India. Sum up Bianca's view on volunteering. Focus on her experience working with children."
"c10gk5_t1","c10gk5","t1","int.reading","describing","descriptive report","summarize","summarize","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","Sum up the author's views on language learning and its consequences for the integration of immigrant communities in GB."
"c10gk5_t2","c10gk5","t2","analysis","responding","interpretation","analyze","analyze","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","Analyse how the author tries to convince the readers of her opinion. Take into account a) the structure and b) three stylistic devices or other means of communicative strategy [Some help: You could, e.g., analyse the following lines: 1: 'Every year Bangladeshis ... in the streets.' (ll. 7-10); 2: 'My parents ... My parents ... My parents' ... ' (ll. 11-14); 3: 'But you ... holding you up.' (ll. 18-19); 4: '... we ... us' (cf. ll. 3, 18, 20, 23).)"
"c10gk5_t3a","c10gk5","t3a","argumentative","responding","critical response","comment","comment","Hope of escape lost in translation","news article","The Sunday Times","Zia Haider Rahman","'The limits of my language are the limits of my world' (Ludwig Wittgenstein, German linguist philosopher, 1889-1951). Comment on this statement taking into consideration the meaning of language learning in a globalized world."
"c11gk2_t1","c11gk2","t1","int.reading","describing","descriptive report","point_out","point_out","Speech by Michel Barnier at the European American Chamber of Commerce (excerpt)","speech","European American Chamber of Commerce","Michel Barnier","Point out the consequences of Brexit, as well as the characteristics of a close relationship between the UK and the EU as indicated by Michel Barnier."
"c11gk2_t2","c11gk2","t2","analysis","responding","interpretation","analyze","analyze","Speech by Michel Barnier at the European American Chamber of Commerce (excerpt)","speech","European American Chamber of Commerce","Michel Barnier","Analyse the way in which Michel Barnier conveys his criticism of Brexit. Consider his line of argument and language by paying special attention to his choice of words and stylistic devices."
"c11gk2_t3a","c11gk2","t3a","argumentative","responding","critical response","comment","comment","Speech by Michel Barnier at the European American Chamber of Commerce (excerpt)","speech","European American Chamber of Commerce","Michel Barnier","Comment on Barnier's assumption that ""Brexit is clearly a 'lose-lose' situation for both"" (ll. 21f.)."
"c11gk3_t1","c11gk3","t1","int.reading","recounting","literary recount","summarize","outline","A Raisin in the Sun","play",NA,"Lorraine Hansberry","Briefly outline the given scene in your own words and contextualize it (general setting and especially Act I)."
"c11gk3_t2","c11gk3","t2","analysis","responding","interpretation","analyze","analyze","A Raisin in the Sun","play",NA,"Lorraine Hansberry","Analyze the dialogue between Walter and his wife Ruth. Doing so, focus on Walter's dream and his means to realize it, and compare it to the other family members' dreams."
"c11gk3_t3a","c11gk3","t3a","argumentative","responding","critical response","comment","comment","A Raisin in the Sun","play",NA,"Lorraine Hansberry","At some point, Mama says that Walter has almost lost his mind thinking about money all the time. Comment on walter's and the other Youngers' dreams in the context of the American Dream and African American history."
"c11lk2_t1","c11lk2","t1","int.reading","describing","descriptive report","summarize","outline","Clybourne Park","play",NA,"Bruce Norris","Outline what happened in the extract of the play and what Russ thinks about Clybourne Park's community and the way they have treated his family. Explain the intention behind Karl's and Russ's actions (here, focus on the second part of the extract)."
"c11lk2_t2","c11lk2","t2","analysis","responding","interpretation","analyze","analyze","Clybourne Park","play",NA,"Bruce Norris","Analyze how the stage directions and other dramatic devices are used to create tension and to raise the suspense in the confrontation between Karl and Russ."
"c11lk2_t3a","c11lk2","t3a","argumentative","persuading","discussion","comment","discuss","Clybourne Park","play",NA,"Bruce Norris","Discuss to what extent the play Clybourne Park reflects aspects of the American Dream."
"c11lk2_t3c","c11lk2","t3c","creative","entertaining","narrative","interior_monologue","interior_monologue","Clybourne Park","play",NA,"Bruce Norris","Choose either Bev or Russ and imagine how they feel at the end of this passage. Consider their relationship to their partner and other characters and write an interior monologue (innerer Monolog) in which you express Bev's or Russ's feelings as well as her/his hopes and worries."
"c12gk1_t1","c12gk1","t1","int.reading","describing","descriptive report","summarize","outline","Sonnet 116","poem",NA,"William Shakespeare","Briefly outline the idea developed in the sonnet."
"c12gk1_t2","c12gk1","t2","analysis","responding","interpretation","analyze","analyze","Sonnet 116","poem",NA,"William Shakespeare","Analyse in what way structure and language support the speaker's idea of love."
"c12gk1_t3a","c12gk1","t3a","argumentative","responding","discussion","comment","discuss","Sonnet 116","poem",NA,"William Shakespeare","Discuss Shakespeare's relevance for young people today."
"c12gk2_t1","c12gk2","t1","int.reading","describing","descriptive report","summarize","summarize","Macbeth","play",NA,"William Shakespeare","Summarize the scene."
"c12gk2_t2","c12gk2","t2","analysis","responding","interpretation","analyze","analyze","Macbeth","play",NA,"William Shakespeare","Analyze the relationship between Macbeth and Lady Macbeth and how Lady Macbeth tries to convince her husband of murdering king Duncan. Focus on dialogue and language (i.e. choice of words, rhetorical devices, etc.)"
"c12gk2_t3a","c12gk2","t3a","argumentative","responding","critical response","comment","comment",NA,NA,NA,NA,"Shakespeare never grows old. He continues to inspire each new generation. Comment on this statement by Norman J. Lund. Give arguments for and against the study of Shakespeare in school. What makes it interesting/uninteresting/important etc. for today's audience or for you as a student?"
"c12gk3_t1","c12gk3","t1","int.reading","describing","descriptive report","summarize","summarize","Macbeth","play",NA,"William Shakespeare","Summarise the argument that is taking place between Macbeth and Lady Macbeth."
"c12gk3_t2","c12gk3","t2","analysis","responding","interpretation","analyze","analyze","Macbeth","play",NA,"William Shakespeare","Analyse how Lady Macbeth is trying to persuade her husband - especially with regard to her choice of language, including stylistic devices."
"c12gk3_t3a","c12gk3","t3a","argumentative","responding","critical response","comment","comment",NA,NA,NA,NA,"Comment on the fact that Shakespeare's works are believed to be still relevant today."
"c12gk3_t3c","c12gk3","t3c","creative","entertaining","narrative","interior_monologue","soliloquy","Macbeth","play",NA,"William Shakespeare","Imagine Macbeth is having another soliloquy after the talk to his wife. You may use Modem English when writing it."
"c12lk1_t1","c12lk1","t1","int.reading","describing","descriptive report","summarize","present","Sonnet 65","poem",NA,"William Shakespeare","Present the given sonnet by giving an account on its formal constitution/structure as well as metre, rhyme etc. and summarizing its content as well as theme/s in your own words."
"c12lk1_t2","c12lk1","t2","analysis","responding","interpretation","analyze","analyze","Sonnet 65","poem",NA,"William Shakespeare","Analyze the sonnet by taking a closer look at the language and stylistic devices used in order to convey the message/intention of the sonnet & explain your results in the context of Shakespeare's catalogue of sonnets."
"c12lk1_t3a1","c12lk1","t3a1","argumentative","responding","critical response","comment","comment","Sonnet 65","poem",NA,"William Shakespeare","State your point of view! As you have learned about and worked on various sonnets, evaluate the given sonnet with regard to its persuative power, thus: is it a convincing sonnet in the light of Shakespearean poetry and his time? Give reason!"
"c12lk1_t3a2","c12lk1","t3a2","argumentative","responding","critical response","formal_letter","formal_letter","Sonnet 65","poem",NA,"William Shakespeare","Imagine you were the addressee of the sonnet, respond to the sonnet which you have received as a letter. Therefore, write back to Shakespeare and say if you/why you (don't) like his sonnet; include your opinion on him as a writer in general!"
"c12lk2_t1","c12lk2","t1","int.reading","recounting","literary recount","sonnet_paraphrase","sonnet_paraphrase","Sonnet 60","poem",NA,"William Shakespeare","Paraphrase sonnet 60 in your own words"
"c12lk2_t2","c12lk2","t2","analysis","responding","interpretation","analyze","analyze","Sonnet 60","poem",NA,"William Shakespeare","Analyse the sonnet concerning content and form."
"c12lk2_t3a","c12lk2","t3a","argumentative","responding","critical response","comment","discuss","Sonnet 60","poem",NA,"William Shakespeare","Discuss why the works of the English poet Shakespeare should still be taught in German English classes."
"c12lk2_t3c","c12lk2","t3c","creative","persuading","analytical exposition","dialogue","dialogue","Sonnet 60","poem",NA,"William Shakespeare","Write a conversation between two people: Convince somebody otherwise who does not see the necessity of reading Shakespeare in German classes of English."
